[2021-11-14 19:03:39,459]: 127.0.0.1:9999 "DELETE /create.txt HTTP/1.1"404 Not Found PostmanRuntime/7.28.4 
[2021-11-14 19:03:39,460]: 127.0.0.1:9999 "DELETE HTTP/1.1 dhruv.png"401 Unauthorised 
[2021-11-14 19:03:39,452]: 127.0.0.1:9999 "POST /testing1.txt HTTP/1.1"201 created */* 
[2021-11-14 19:03:39,463]: 127.0.0.1:9999 "POST HTTP/1.1 testing1.txt"201 created 
[2021-11-14 19:04:57,563]: 127.0.0.1:9999 "COPY /arya.txt HTTP/1.1"405 Method Not Allowed PostmanRuntime/7.28.4
[2021-11-14 19:04:57,563]: 127.0.0.1:9999 "COPY HTTP/1.1 arya.txt"405 Method Not Allowed 
[2021-11-14 19:06:39,697]: 127.0.0.1:9999 "GET /s.txt HTTP/1.1"200 OK PostmanRuntime/7.28.4 
[2021-11-14 19:06:39,697]: 127.0.0.1:9999 "GET HTTP/1.1 s.txt"200 OK 
[2021-11-14 19:06:39,698]: 127.0.0.1:9999 "HEAD /sahil.mp3 HTTP/1.1"200 OK PostmanRuntime/7.28.4 
[2021-11-14 19:06:39,698]: 127.0.0.1:9999 "HEAD HTTP/1.1 sahil.mp3"200 OK 
[2021-11-14 19:06:39,699]: 127.0.0.1:9999 "DELETE /dhruv.png HTTP/1.1"401 Unauthorised PostmanRuntime/7.28.4
[2021-11-14 19:06:39,700]: 127.0.0.1:9999 "DELETE HTTP/1.1 dhruv.png"401 Unauthorised 
[2021-11-14 19:06:39,700]: 127.0.0.1:9999 "DELETE HTTP/1.1 create.txt"404 Not Found 
[2021-11-14 19:06:39,700]: 127.0.0.1:9999 "DELETE /create.txt HTTP/1.1"404 Not Found PostmanRuntime/7.28.4 
[2021-11-14 19:06:39,701]: 127.0.0.1:9999 "PUT /testing.txt HTTP/1.1"201 created */* 
[2021-11-14 19:06:39,702]: 127.0.0.1:9999 "PUT HTTP/1.1 testing.txt"201 created 
[2021-11-14 19:06:39,702]: 127.0.0.1:9999 "COPY /arya.txt HTTP/1.1"405 Method Not Allowed PostmanRuntime/7.28.4
[2021-11-14 19:06:39,702]: 127.0.0.1:9999 "COPY HTTP/1.1 arya.txt"405 Method Not Allowed 
[2021-11-14 19:06:39,704]: 127.0.0.1:9999 "POST /testing1(1).txt HTTP/1.1"200 OK */* 
[2021-11-14 19:06:39,704]: 127.0.0.1:9999 "POST HTTP/1.1 testing1(1).txt"200 OK 
[2021-11-14 19:07:23,995]: 127.0.0.1:9999 "GET /s.txt HTTP/1.1"200 OK PostmanRuntime/7.28.4 
[2021-11-14 19:07:23,995]: 127.0.0.1:9999 "HEAD /sahil.mp3 HTTP/1.1"200 OK PostmanRuntime/7.28.4 
[2021-11-14 19:07:23,996]: 127.0.0.1:9999 "DELETE /dhruv.png HTTP/1.1"401 Unauthorised PostmanRuntime/7.28.4
[2021-11-14 19:07:23,996]: 127.0.0.1:9999 "DELETE HTTP/1.1 create.txt"404 Not Found 
[2021-11-14 19:07:23,999]: 127.0.0.1:9999 "COPY /arya.txt HTTP/1.1"405 Method Not Allowed PostmanRuntime/7.28.4
[2021-11-14 19:07:23,999]: 127.0.0.1:9999 "PUT /testing.txt HTTP/1.1"201 created */* 
[2021-11-14 19:07:23,999]: 127.0.0.1:9999 "POST /testing1(2).txt HTTP/1.1"200 OK */* 
[2021-11-14 19:07:24,003]: 127.0.0.1:9999 "GET HTTP/1.1 s.txt"200 OK 
[2021-11-14 19:07:24,004]: 127.0.0.1:9999 "HEAD HTTP/1.1 sahil.mp3"200 OK 
[2021-11-14 19:07:24,004]: 127.0.0.1:9999 "DELETE HTTP/1.1 dhruv.png"401 Unauthorised 
[2021-11-14 19:07:24,004]: 127.0.0.1:9999 "DELETE /create.txt HTTP/1.1"404 Not Found PostmanRuntime/7.28.4 
[2021-11-14 19:07:24,004]: 127.0.0.1:9999 "COPY HTTP/1.1 arya.txt"405 Method Not Allowed 
[2021-11-14 19:07:24,004]: 127.0.0.1:9999 "PUT HTTP/1.1 testing.txt"201 created 
[2021-11-14 19:07:24,004]: 127.0.0.1:9999 "POST HTTP/1.1 testing1(2).txt"200 OK 
[2021-11-14 19:14:18,049]: 127.0.0.1:9999 "GET /s.txt HTTP/1.1"200 OK PostmanRuntime/7.28.4 
[2021-11-14 19:14:18,054]: 127.0.0.1:9999 "GET HTTP/1.1 s.txt"200 OK 
[2021-11-14 19:14:18,050]: 127.0.0.1:9999 "DELETE HTTP/1.1 create.txt"404 Not Found 
[2021-11-14 19:14:18,054]: 127.0.0.1:9999 "DELETE /create.txt HTTP/1.1"404 Not Found PostmanRuntime/7.28.4 
[2021-11-14 19:14:18,050]: 127.0.0.1:9999 "DELETE /dhruv.png HTTP/1.1"401 Unauthorised PostmanRuntime/7.28.4
[2021-11-14 19:14:18,053]: 127.0.0.1:9999 "COPY /arya.txt HTTP/1.1"405 Method Not Allowed PostmanRuntime/7.28.4
[2021-11-14 19:14:18,054]: 127.0.0.1:9999 "POST /testing1(3).txt HTTP/1.1"200 OK */* 
[2021-11-14 19:14:18,054]: 127.0.0.1:9999 "GET /s.txt HTTP/2.0"505 Version Not Supported PostmanRuntime/7.28.4 
[2021-11-14 19:14:18,049]: 127.0.0.1:9999 "HEAD /sahil.mp3 HTTP/1.1"200 OK PostmanRuntime/7.28.4 
[2021-11-14 19:14:18,058]: 127.0.0.1:9999 "DELETE HTTP/1.1 dhruv.png"401 Unauthorised 
[2021-11-14 19:14:18,058]: 127.0.0.1:9999 "COPY HTTP/1.1 arya.txt"405 Method Not Allowed 
[2021-11-14 19:14:18,058]: 127.0.0.1:9999 "POST HTTP/1.1 testing1(3).txt"200 OK 
[2021-11-14 19:14:18,058]: 127.0.0.1:9999 "GET HTTP/2.0 s.txt"505 Version Not Supported 
[2021-11-14 19:14:18,058]: 127.0.0.1:9999 "HEAD HTTP/1.1 sahil.mp3"200 OK 
[2021-11-14 19:14:18,052]: 127.0.0.1:9999 "PUT /testing.txt HTTP/1.1"201 created */* 
[2021-11-14 19:14:18,063]: 127.0.0.1:9999 "PUT HTTP/1.1 testing.txt"201 created 
[2021-11-14 19:23:15,312]: 127.0.0.1:9990 "GET /s.txt HTTP/1.1"200 OK PostmanRuntime/7.28.4 
[2021-11-14 19:23:15,314]: 127.0.0.1:9990 "GET HTTP/1.1 s.txt"200 OK 
[2021-11-14 19:23:15,318]: 127.0.0.1:9990 "DELETE HTTP/1.1 create.txt"404 Not Found 
[2021-11-14 19:23:15,319]: 127.0.0.1:9990 "DELETE /create.txt HTTP/1.1"404 Not Found PostmanRuntime/7.28.4 
[2021-11-14 19:23:15,327]: 127.0.0.1:9990 "HEAD /sahil.mp3 HTTP/1.1"200 OK PostmanRuntime/7.28.4 
[2021-11-14 19:23:15,328]: 127.0.0.1:9990 "HEAD HTTP/1.1 sahil.mp3"200 OK 
[2021-11-14 19:23:15,329]: 127.0.0.1:9990 "DELETE /dhruv.png HTTP/1.1"401 Unauthorised PostmanRuntime/7.28.4
